iter	Passed	Remaining
0	59	59702
1	60	30036
2	60	20113
3	60	15152
4	61	12167
5	61	10189
6	61	8777
7	62	7713
8	62	6884
9	62	6218
10	63	5674
11	63	5220
12	63	4835
13	64	4513
14	64	4229
15	64	3978
16	64	3757
17	65	3561
18	65	3386
19	65	3227
20	66	3085
21	66	2956
22	66	2838
23	67	2730
24	67	2628
25	67	2535
26	67	2448
27	68	2368
28	68	2293
29	68	2223
30	69	2157
31	69	2097
32	69	2039
33	69	1986
34	70	1935
35	70	1887
36	70	1842
37	71	1800
38	71	1759
39	71	1720
40	72	1684
41	72	1649
42	72	1615
43	72	1583
44	73	1552
45	73	1523
46	73	1499
47	74	1473
48	74	1448
49	74	1423
50	75	1401
51	75	1378
52	75	1356
53	76	1334
54	76	1313
55	76	1293
56	76	1273
57	77	1254
58	77	1235
59	77	1218
60	78	1201
61	78	1185
62	78	1168
63	78	1153
64	79	1138
65	79	1123
66	79	1109
67	79	1095
68	80	1081
69	80	1068
70	80	1055
71	80	1042
72	81	1030
73	81	1019
74	81	1007
75	81	996
76	82	986
77	82	975
78	82	965
79	83	955
80	83	945
81	83	935
82	83	924
83	83	915
84	84	906
85	84	897
86	84	889
87	84	880
88	85	872
89	85	864
90	85	856
91	86	849
92	86	841
93	86	834
94	86	828
95	87	821
96	87	814
97	87	808
98	88	801
99	88	795
100	88	789
101	89	783
102	89	778
103	89	773
104	90	767
105	90	762
106	90	757
107	91	751
108	91	746
109	91	741
110	91	735
111	92	731
112	92	726
113	92	721
114	93	715
115	93	711
116	93	705
117	93	701
118	94	696
119	94	692
120	94	687
121	94	682
122	95	677
123	95	673
124	95	669
125	95	665
126	96	660
127	96	656
128	96	652
129	96	648
130	97	644
131	97	640
132	97	636
133	97	632
134	98	628
135	98	625
136	98	621
137	98	617
138	99	614
139	99	610
140	99	607
141	99	603
142	100	599
143	100	596
144	100	593
145	100	589
146	101	586
147	101	583
148	101	580
149	101	577
150	102	574
151	102	572
152	102	569
153	103	566
154	103	563
155	103	560
156	103	557
157	104	555
158	104	552
159	104	549
160	104	546
161	105	544
162	105	541
163	105	539
164	106	536
165	106	534
166	106	531
167	106	529
168	107	527
169	107	524
170	107	522
171	108	520
172	108	517
173	108	515
174	108	513
175	109	510
176	109	508
177	109	506
178	109	504
179	110	501
180	110	499
181	110	497
182	110	495
183	111	493
184	111	491
185	111	489
186	112	487
187	112	485
188	112	483
189	112	481
190	113	479
191	113	477
192	113	475
193	114	473
194	114	471
195	114	469
196	114	468
197	115	466
198	115	464
199	115	462
200	115	460
201	116	459
202	116	457
203	116	455
204	117	453
205	117	452
206	117	450
207	117	448
208	118	447
209	118	445
210	118	444
211	119	442
212	119	441
213	119	439
214	119	437
215	120	436
216	120	435
217	120	433
218	121	432
219	121	431
220	121	429
221	122	428
222	122	426
223	122	425
224	123	424
225	123	422
226	123	421
227	123	419
228	124	418
229	124	416
230	124	415
231	125	414
232	125	412
233	125	411
234	125	410
235	126	408
236	126	407
237	126	405
238	127	404
239	127	403
240	127	402
241	128	400
242	128	399
243	128	398
244	128	397
245	129	395
246	129	394
247	129	393
248	129	391
249	130	390
250	130	389
251	130	387
252	130	386
253	131	385
254	131	383
255	131	382
256	131	381
257	132	380
258	132	379
259	132	378
260	133	376
261	133	375
262	133	374
263	133	373
264	134	372
265	134	371
266	134	370
267	135	368
268	135	367
269	135	366
270	135	365
271	136	364
272	136	363
273	136	362
274	136	361
275	137	360
276	137	359
277	137	358
278	138	357
279	138	356
280	138	355
281	139	354
282	139	352
283	139	351
284	139	350
285	140	349
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	343
292	141	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	337
298	143	336
299	143	335
300	144	334
301	144	333
302	144	333
303	145	332
304	145	331
305	145	330
306	145	329
307	146	328
308	146	327
309	146	326
310	147	325
311	147	324
312	147	323
313	147	322
314	148	322
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	150	316
322	150	315
323	150	314
324	151	313
325	151	312
326	151	312
327	151	311
328	152	310
329	152	309
330	152	309
331	153	308
332	153	307
333	153	306
334	154	305
335	154	305
336	154	304
337	155	303
338	155	302
339	155	302
340	155	301
341	156	300
342	156	300
343	156	299
344	157	298
345	157	297
346	157	296
347	158	296
348	158	295
349	158	294
350	159	294
351	159	294
352	160	293
353	160	292
354	160	291
355	160	291
356	161	290
357	161	289
358	161	288
359	162	288
360	162	287
361	162	286
362	162	285
363	163	285
364	163	284
365	163	283
366	163	282
367	164	282
368	164	281
369	164	280
370	165	279
371	165	279
372	165	278
373	165	277
374	166	276
375	166	276
376	166	275
377	166	274
378	167	274
379	167	273
380	167	272
381	168	271
382	168	271
383	168	270
384	168	269
385	169	269
386	169	268
387	169	267
388	170	267
389	170	266
390	170	265
391	170	265
392	171	264
393	171	263
394	171	263
395	172	262
396	172	261
397	172	261
398	172	260
399	173	259
400	173	259
401	173	258
402	174	257
403	174	257
404	174	256
405	174	255
406	175	255
407	175	254
408	175	253
409	175	253
410	176	252
411	176	251
412	176	251
413	177	250
414	177	249
415	177	249
416	177	248
417	178	247
418	178	247
419	178	246
420	178	245
421	179	245
422	179	244
423	179	244
424	179	243
425	180	242
426	180	242
427	180	241
428	181	240
429	181	240
430	181	239
431	181	239
432	182	238
433	182	238
434	182	237
435	183	236
436	183	236
437	183	235
438	184	235
439	184	234
440	184	234
441	184	233
442	185	232
443	185	232
444	185	231
445	186	231
446	186	230
447	186	230
448	186	229
449	187	228
450	187	228
451	187	227
452	188	227
453	188	226
454	188	225
455	188	225
456	189	224
457	189	224
458	189	223
459	189	222
460	190	222
461	190	221
462	190	221
463	191	220
464	191	220
465	191	219
466	191	219
467	192	218
468	192	217
469	192	217
470	192	216
471	193	216
472	193	215
473	193	215
474	194	214
475	194	213
476	194	213
477	194	212
478	195	212
479	195	211
480	195	211
481	195	210
482	196	209
483	196	209
484	196	208
485	197	208
486	197	207
487	197	207
488	198	206
489	198	206
490	198	205
491	198	205
492	199	204
493	199	204
494	199	203
495	200	203
496	200	202
497	200	202
498	200	201
499	201	201
500	201	200
501	201	200
502	201	199
503	202	199
504	202	198
505	202	197
506	203	197
507	203	196
508	203	196
509	203	195
510	204	195
511	204	194
512	204	194
513	204	193
514	205	193
515	205	192
516	205	192
517	205	191
518	206	191
519	206	190
520	206	190
521	207	189
522	207	189
523	207	188
524	207	188
525	208	187
526	208	187
527	208	186
528	209	186
529	209	185
530	209	185
531	209	184
532	210	184
533	210	183
534	210	183
535	210	182
536	211	182
537	211	181
538	211	181
539	212	180
540	212	180
541	212	179
542	212	179
543	213	178
544	213	178
545	213	177
546	214	177
547	214	176
548	214	176
549	215	175
550	215	175
551	215	175
552	216	174
553	216	174
554	216	173
555	216	173
556	217	172
557	217	172
558	217	171
559	218	171
560	218	170
561	218	170
562	218	169
563	219	169
564	219	168
565	219	168
566	220	168
567	220	167
568	220	167
569	220	166
570	221	166
571	221	165
572	221	165
573	222	164
574	222	164
575	222	163
576	222	163
577	223	162
578	223	162
579	223	162
580	223	161
581	224	161
582	224	160
583	224	160
584	225	159
585	225	159
586	225	158
587	225	158
588	226	157
589	226	157
590	226	156
591	227	156
592	227	156
593	227	155
594	227	155
595	228	154
596	228	154
597	228	153
598	228	153
599	229	152
600	229	152
601	229	151
602	230	151
603	230	150
604	230	150
605	230	150
606	231	149
607	231	149
608	232	148
609	232	148
610	232	148
611	232	147
612	233	147
613	233	146
614	233	146
615	234	145
616	234	145
617	234	144
618	234	144
619	235	144
620	235	143
621	235	143
622	235	142
623	236	142
624	236	141
625	236	141
626	237	141
627	237	140
628	237	140
629	238	139
630	238	139
631	238	139
632	239	138
633	239	138
634	240	137
635	240	137
636	240	137
637	240	136
638	241	136
639	241	135
640	241	135
641	241	134
642	242	134
643	242	134
644	242	133
645	243	133
646	243	132
647	243	132
648	243	131
649	244	131
650	244	131
651	244	130
652	245	130
653	245	129
654	245	129
655	245	128
656	246	128
657	246	128
658	246	127
659	247	127
660	247	126
661	247	126
662	248	126
663	248	125
664	248	125
665	248	124
666	249	124
667	249	124
668	249	123
669	250	123
670	250	122
671	250	122
672	250	121
673	251	121
674	251	121
675	251	120
676	251	120
677	252	119
678	252	119
679	252	118
680	252	118
681	253	118
682	253	117
683	253	117
684	254	116
685	254	116
686	254	116
687	254	115
688	255	115
689	255	114
690	255	114
691	255	113
692	256	113
693	256	113
694	256	112
695	257	112
696	257	111
697	257	111
698	257	111
699	258	110
700	258	110
701	258	109
702	258	109
